表名称,字段,字段解释,字段类型,备注,,,,,,,,,,,,,,,,,
TB_Person（个人表）,AchivementFlag,作品展示是否完整,bit,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,Address,通讯地址,nvarchar,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,AdtionalFlag,附加信息是否完整,bit,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,ApplyStatus,求职状态,nvarchar,"<option value=""0"">目前正在找工作</option>
<option value=""1"">半年内不想换工作</option>
<option value=""2"">一年内不想换工作</option>
<option value=""3"">有更好的职位再考虑</option>
<option value=""4"">我暂时不想换工作</option>
<option value=""5"">在校学生找兼职工作</option>",,,,,,,,,,,,,,,,,
TB_Person（个人表）,BasicFlag,基本信息是否完整,bit,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,BirthDay,出生日期,datetime,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,BirthDayType,没有照片-1  0照片文件名包含.  1照片文件名不包含.,int,照片包含. 带后缀，不包含.不带后缀，可能为了处理数据兼容,,,,,,,,,,,,,,,,,
TB_Person（个人表）,CanWorkTime,到岗时间,int,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,CertFlag,证书情况是否完整,bit,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,City,现居住地-城市,int,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,ComputerGrade,计算机等级,int,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,CreateTime,创建时间,datetime,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,DisplayName,隐藏姓名时显示的称呼,nvarchar,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,DomicilePlace,户口所在地，区域编码,int,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,EduDegree,最高学历,int,10小学，20初中，30高中，40中专，50大专，60本科，70硕士，100在读硕士，80博士，90博士后，110无学历,,,,,,,,,,,,,,,,,
TB_Person（个人表）,EduFlag,教育信息是否完整,bit,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,Email,邮箱,varchar,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,EnglishGrade,英语等级,int,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,Health,健康情况,int,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,Height,身高,int,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,HideName,是否隐藏姓名，0否，1是,bit,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,HomePage,个人主页,nvarchar,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,IsCol,是否采集简历,bit,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,IsFullTime,工作类型，1全职，2兼职，3,int,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,IsMarried,婚姻状态，0未婚，1已婚，2离异，3保密,int,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,IsPublic,是否公开简历,int,"0,完全公开,1只限企业浏览,2只对应聘企业公开,3只对应聘企业公开,其它:任何人无法查看",,,,,,,,,,,,,,,,,
TB_Person（个人表）,JobExp,工作年限,int,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,JobExpFlag,工作经历是否完整,bit,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,JobLevel,人才层次,int,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,Lang1Grade,语言能力1-级别,int,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,Lang1Type,语言能力1-类别,int,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,Lang2Grade,语言能力2-级别,int,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,Lang2Type,语言能力2-类别,int,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,Lang3Grade,语言能力3-级别,int,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,Lang3Type,语言能力3-类别,int,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,LangFlag,语言技能是否完整,bit,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,lat,现居住地信息-经纬度,decimal,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,lng,现居住地信息-经纬度,decimal,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,Nationality,民族,int,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,OtherRequire,其他要求,nvarchar,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,Phone,手机号码,nvarchar,,,,,,,,,,,,,,,,,,
