table_name,column_name,type_name
A_date_temp,eTime,varchar
A_Name,name,varchar
A_Name_copy1,name,varchar
A_SendEmail_Temp_xtrc,keyword,nvarchar
A_SendEmail_Temp_xtrc,email,nvarchar
A_SendEmail_Temp_xtrc,id,nvarchar
A_SendEmail_Temp1,id,int
A_SendEmail_Temp1,email,varchar
A_SendEmail_Temp1,keyword,varchar
bc_yccity_map_temp_copy1,YnId,int
bc_yccity_map_temp_copy1,YnName,nvarchar
bc_yccity_map_temp_copy1,CityCode,int
bc_yccity_map_temp_copy1,CityCode2,int
bc_yccity_map_temp_copy1,ParentId,int
DelUserBak20230825,UserID,int
DelUserBak20230825,UserType,nvarchar
DelUserBak20230825,UserName,nvarchar
DelUserBak20230825,Email,nvarchar
DelUserBak20230825,Pass_word,nvarchar
DelUserBak20230825,LoginCount,nvarchar
DelUserBak20230825,Enabled,nvarchar
DelUserBak20230825,RegTime,nvarchar
DelUserBak20230825,UserPass,nvarchar
DelUserBak20230825,RegIP,nvarchar
DelUserBak20230825,LoginTime,nvarchar
DelUserBak20230825,LoginIP,nvarchar
DelUserBak20230825,LastLoginTime,nvarchar
DelUserBak20230825,LastLoginIP,nvarchar
DelUserBak20230825,RegType,nvarchar
DelUserBak20230825,LastRecomm,nvarchar
DelUserBak20230825,LastReadRecomm,nvarchar
DelUserBak20230825,ReadRecommCount,nvarchar
DelUserBak20230825,WxOpenId,nvarchar
DelUserBak20230825,JobRecommMail,nvarchar
DelUserBak20230825,PersonRecomm,nvarchar
DelUserBak20230825,InterviewNotifyMail,nvarchar
DelUserBak20230825,InterviewNotifyWx,nvarchar
DelUserBak20230825,JobApplyNotifyMail,nvarchar
DelUserBak20230825,JobApplyNotifyWx,nvarchar
DelUserBak20230825,WxEnabled,nvarchar
DelUserBak20230825,QQ_openid,nvarchar
DelUserBak20230825,QQ_access_token,nvarchar
DelUserBak20230825,QQ_token_expire,nvarchar
DelUserBak20230825,QQ_refresh_token,nvarchar
DelUserBak20230825,QQ_nickname,nvarchar
DelUserBak20230825,BindQQ,nvarchar
DelUserBak20230825,MobilePhone,nvarchar
DelUserBak20230825,BindMobile,nvarchar
DelUserBak20230825,WxLoginOpenId,nvarchar
DelUserBak20230825,WxUnionid,nvarchar
DelUserBak20230825,AppInviteNotify,nvarchar
DelUserBak20230825,AppJobApplyNotify,nvarchar
DelUserBak20230825,AppPushMsg,nvarchar
DelUserBak20230825,AppVisitMsg,nvarchar
DelUserBak20230825,AppComJobApplyNotify,nvarchar
DelUserBak20230825,AppComPersonInviteReply,nvarchar
DelUserBak20230825,AppComPushMsg,nvarchar
DelUserBak20230825,SmsComJobApply,nvarchar
DelUserBak20230825,SmsComInviteReply,nvarchar
DelUserBak20230825,SmsComPushMsg,nvarchar
DelUserBak20230825,SmsPerInvite,nvarchar
DelUserBak20230825,SmsPerView,nvarchar
DelUserBak20230825,SmsPerPushMsg,nvarchar
DelUserBak20230825,SmsTodayJobApplyNotify,nvarchar
DelUserBak20230825,BdUid,nvarchar
DelUserBak20230825,BdToken,nvarchar
DelUserBak20230825,BdRefreshToken,nvarchar
DelUserBak20230825,BdTokenExpireTime,nvarchar
DelUserBak20230825,DeviceToken,nvarchar
DelUserBak20230825,CanMobileLogin,nvarchar
DelUserBak20230825,RegSrc,nvarchar
DelUserBak20230825,Comment,nvarchar
DelUserBak20230825,PwdBak,nvarchar
DelUserBak20230825,geo,nvarchar
DelUserBak20230825,ModifyTime,nvarchar
JobFair,Id,int
JobFair,JobFairId,int
JobFair,JobFairName,varchar
JobFairSta,Id,smallint
JobFairSta,Name,nchar
JobFairSta,Count,int
JobFairSta,Type,smallint
JobFairSta,JobFairId,int
JobFairSta,UpDateTime,datetime2
JobFairSta2,JobFairId,int
JobFairSta2,jobNum,int
JobFairSta2,peopleCount,int
JobFairSta2,applyCount,int
JobFairSta2,interviewCount,int
JobFairSta2,entCount,int
JobFairSta2,browseCount,int
JobFairSta2,updateTime,datetime2
JwSource,Id,int
JwSource,JwSn,int
JwSource,JwName,varchar
JwSource,Shool,varchar
JwSource,Education,varchar
JwSource,UpTime,datetime2
Lhyg_Publish_Work,id,int
Lhyg_Publish_Work,companyName,varchar
Lhyg_Publish_Work,image,varchar
Lhyg_Publish_Work,salary,int
Lhyg_Publish_Work,workAddress,varchar
Lhyg_Publish_Work,workData,datetime
Lhyg_Publish_Work,workName,varchar
Lhyg_Publish_Work,workSpan,int
Lhyg_Seek_Work,id,int
Lhyg_Seek_Work,image,varchar
Lhyg_Seek_Work,jobTitle,varchar
Lhyg_Seek_Work,jw_Name,varchar
Lhyg_Seek_Work,res_birthday,datetime
Lhyg_Seek_Work,res_Expr_Years,tinyint
Lhyg_Seek_Work,res_JobCategory,varchar
Lhyg_Seek_Work,res_learn,tinyint
Lhyg_Seek_Work,res_Sex,tinyint
Lhyg_Seek_Work,salary_High,int
Lhyg_Seek_Work,salary_Low,int
onesheet_temp,企业编号,int
onesheet_temp,企业名称,nvarchar
onesheet_temp,职位编号,int
onesheet_temp,职位名称,nvarchar
onesheet_temp,招聘人数,nvarchar
onesheet_temp,薪资范围,nvarchar
onesheet_temp,招聘福利,nvarchar
T_Geo,id,int
T_Geo,geo,geography
tb_3rd_new,companyname,nvarchar
tb_3rd_new,phone,nvarchar
TB_AduitJobLog,LogId,int
TB_AduitJobLog,JobId,int
TB_AduitJobLog,AduitEmpNo,int
TB_AduitJobLog,AduitEmpName,nvarchar
TB_AduitJobLog,AduitResult,int
TB_AduitJobLog,RequestTime,datetime
TB_AduitJobLog,FinishTime,datetime
TB_AduitJobLog,FailReason,nvarchar
