table_name,description
A_date_temp,
A_Name,
A_Name_copy1,
A_SendEmail_Temp_xtrc,
A_SendEmail_Temp1,
bc_yccity_map_temp_copy1,
DelUserBak20230825,
JobFair,
JobFairSta,
JobFairSta2,
JwSource,
Lhyg_Publish_Work,
Lhyg_Seek_Work,
onesheet_temp,
T_Geo,
tb_3rd_new,
TB_AduitJobLog,
TB_AlipayNotify,
TB_AlipayRequestLog,
TB_AppSliderItem,
TB_Areas,
TB_Artcle,
TB_ArtcleCat,
TB_Banner,
TB_BannerImg,
TB_BC_AuditJob,
TB_BC_City,
TB_BC_ComLoginLog,
TB_BC_DataSynchLog,
TB_BC_DealRepeat,
TB_BC_DownloadResume,
TB_BC_EntComboLog,
TB_BC_EntInfo,企业信息
TB_BC_EntMedals,
TB_BC_FavResume,
TB_BC_IMLog,
TB_BC_Industry,行业
TB_BC_InterviewRec,企业邀请求职者的面试记录
TB_BC_InvitePerson,企业邀请的求职者
TB_BC_JobCategory,岗位类别
TB_BC_JobCategory_bak20231129,
TB_BC_JobOffer,企业提供的岗位
TB_BC_JobReadLog,岗位阅读记录
TB_BC_JobRefreshLog,岗位刷新记录
TB_BC_JwApplyJob,求职者申请岗位记录
TB_BC_JwFavJob,求职者收藏的岗位
TB_BC_JwInfo,求职者信息
TB_BC_JwLoginLog,求职者登录记录
TB_BC_JwPosition,求职者岗位
TB_BC_JwViewJob,求职者查看岗位记录
TB_BC_JX_Industry,
TB_BC_JX_JobCategory,
TB_BC_JX_JobFairType,
TB_BC_List_Down,
TB_BC_LoginToken,
TB_BC_OpenId,
TB_BC_Resume,求职者简历信息
TB_BC_SalesOrder,订单记录
TB_BC_ViewResume,企业查看求职者简历记录
TB_BC_YnCity,云南省各地州名称和代码
TB_BC_YnComLike,
TB_BC_YnCompany,
TB_BC_YnDept,
TB_BC_YnEntInvite,
TB_BC_YnJob,
TB_BC_YnJobCate,
TB_BC_YnJobFavor,
TB_BC_YnJw,
TB_BC_YnJwApply,
TB_BC_YnJwErr,
TB_BC_YnJwRepeat,
TB_BC_YnJwUpdate,
TB_BC_YnSpeciality,
TB_BC_YnUpdateSalary,
TB_BC_YnzpId,
TB_BizInfo,
TB_BM_Info,
TB_CK_Click_Count,
TB_CK_Redirect_Configuration,
TB_ComAddtionInfo,
TB_ComComment,
TB_ComCommentStat,
TB_ComJobStat,
TB_ComLike,
TB_CommentTagStat,
TB_ComMessage,
TB_ComNews,
TB_Company,企业信息
TB_Company_Dept,
TB_CompanyAduit,
TB_CompanyChangeHistory,
TB_CompanyCollected,
TB_CompanyFavoriteRead,
TB_CompanyOption,
TB_CompanyPic,
TB_CompanyPromote,
TB_ComPicCat,
TB_ComPics,
TB_ComRight,企业权限
TB_ComStat,企业状态
TB_ComTemp,
TB_ComVideo,
TB_CSBigType,
TB_CSConfig,
TB_CSExchange,
TB_CSFeedback,
TB_CSFeedbackUser,
TB_CSGrantRecord,
TB_CSIntegralRecord,
TB_CSOperationRecord,
TB_CSPictureType,
TB_CSScore,
TB_CSSmallType,
TB_CSTemplate,
TB_CSUserCorrelation,
TB_CurrentComRight,
TB_DepartKpi,
TB_DiscoverItem,
TB_DiscoverSubItem,
TB_DO_ComDailyData,
TB_DO_ComData,
TB_DO_DoLog,
TB_DO_EntLoginRank,
TB_DO_FeedBackRank,
TB_DO_JobCateSalaryAvg,
TB_DO_JobDailyData,
TB_DO_JobData,
TB_DO_RefreshRank,
